Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
InfoGear Technology,http://www.crunchbase.com/organization/infogear-technology,,"InfoGear produces software and ASICs for the low-cost Internet Appliance market. The initial product, iPHONE, is a smart telephone with a",1995,Software,"2055 Woodside Road, Redwood City, California, United States",Redwood City,California,United States,"InfoGear produces software and ASICs for the low-cost Internet Appliance market. The initial product, iPHONE, is a smart telephone with a touch screen for simple access to on-line services and the Internet/Intranet. The company was founded in 1995 and is based in Redwood City, California.",,,Cisco Systems,Cisco acquired InfoGear Technology in 2000,http://api.crunchbase.com/v/2/organization/infogear-technology?user_key=0ebdc8274e821149894a240090945265
Inlet Technologies,http://www.crunchbase.com/organization/inlet-technologies,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185035/8f655813ab589136fa718400c68def7a.jpg",Inlet Technologies offers advanced encoding solutions that deliver videos.,2003,Web Hosting,"1121 Situs Court,, Suite 330, Raleigh, North Carolina, United States",Raleigh,North Carolina,United States,"Inlet Technologies enables new media for new networks. Inlet's advanced encoding solutions produce the highest quality video, faster and more efficiently than any other solution. Inlet enables content creators, programmers and distributors to increase their production efficiency, reduce their costs and deliver the highest quality video over any IP network.The company was founded in 2003 and is headquartered in Raleigh, North Carolina.",http://www.inlethd.com,http://twitter.com/inlettech,Cisco Systems,Cisco acquired Inlet Technologies in 2011,http://api.crunchbase.com/v/2/organization/inlet-technologies?user_key=0ebdc8274e821149894a240090945265
Internet Engineering Group,http://www.crunchbase.com/organization/internet-engineering-group,,Internet Engineering Group was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Internet Engineering Group in 1999,http://api.crunchbase.com/v/2/organization/internet-engineering-group?user_key=0ebdc8274e821149894a240090945265
Internet Junction,http://www.crunchbase.com/organization/internet-junction,,Internet Junction was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Internet Junction in 1995,http://api.crunchbase.com/v/2/organization/internet-junction?user_key=0ebdc8274e821149894a240090945265
Intucell,http://www.crunchbase.com/organization/intucell,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187547/cb3ab85807ec9d96598c3d24976819e7.png",Intucell offers a self-optimizing network solution that enable radio operators to better utilize their radio access networks.,,Mobile,Israel,,,Israel,"Intucell Ltd. operates in stealth mode and offers radio management solution to enable mobile operators to better utilize radio access networks, and handle more traffic with the introduction of smartphones. The company develops auto pilot systems that continuously monitor the network operation and performance. Intucell Ltd. is based in Israel.",http://intucellsystems.com,,Cisco Systems,Cisco acquired Intucell in 2013,http://api.crunchbase.com/v/2/organization/intucell?user_key=0ebdc8274e821149894a240090945265
IPCell Technologies,http://www.crunchbase.com/organization/ipcell-technologies,,"IPCell Technologies is a voice over Internet Protocol company based in the United States. It was acquired by Cisco Systems on September 28,",,Public Relations,,,,,"IPCell Technologies is a voice over Internet Protocol company based in the United States. It was acquired by Cisco Systems on September 28, 2000.",,,Cisco Systems,Cisco acquired IPCell Technologies in 2000,http://api.crunchbase.com/v/2/organization/ipcell-technologies?user_key=0ebdc8274e821149894a240090945265
IPmobile,http://www.crunchbase.com/organization/ipmobile,,IPmobile was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired IPmobile in 2000,http://api.crunchbase.com/v/2/organization/ipmobile?user_key=0ebdc8274e821149894a240090945265
IronPort Systems,http://www.crunchbase.com/organization/ironport,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187911/96c5fd386cd0bfa970357fc2b8203686.gif","IronPort Systems develops email and web security tools that prevent organizations from spam, viruses, malware and other internet threats.",2000,Security,"950 Elm Avenue, San Bruno, California, United States",San Bruno,California,United States,"Cisco acquired IronPort Systems in June, 2007. Now a part of the Cisco product family, IronPort email and web security appliances protect organizations of all sizes against spam, viruses, malware and other Internet threats — combining powerful performance with preventive and reactive security measures that are easy to deploy and manage. These award-winning products and solutions are available from your local account team and through authorized resellers.",http://www.ironport.com,,Cisco Systems,Cisco acquired IronPort Systems in 2007,http://api.crunchbase.com/v/2/organization/ironport?user_key=0ebdc8274e821149894a240090945265
Jabber,http://www.crunchbase.com/organization/jabber,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397193065/7326c9d9b6eaba2663a72db992279cc7.png",messaging system,2000,"Messaging, Networking, Curated Web","1899 Wynkoop Street, Suite 600, Denver, Colorado, United States",Denver,Colorado,United States,"Jabber, Inc. develops and markets commercial real-time presence and messaging solutions for the enterprise, government, communications/service providers, financial services, and original equipment manufacturer markets. It offers JabberNow that provides out-of-the-box collaboration features, such as presence-based instant messaging and text conferencing/group chat in a secure messaging environment to small and medium workforces; and Jabber Extensible Communications Platform, a presence, messaging, and XML routing platform.The company also provides Jabber MomentIM, an extensible Windows desktop client; Jabber Messenger for the Web, a zero-footprint Web browser client; and Mobile Clients solution that offers instant messaging and presence functionality to mobile users. In addition, it offers maintenance and support, installation and configuration assistance, training, consulting, and custom development services. Jabber offers its products through reseller, strategic, and development partners.The company was founded in 2000 and is based in Denver, Colorado with additional offices in Washington, District of Columbia. As of October 31, 2008, Jabber, Inc. operates as a subsidiary of Cisco Systems, Inc.",http://www.jabber.org,http://twitter.com/jabberdotorg,Cisco Systems,Cisco acquired Jabber in 2008,http://api.crunchbase.com/v/2/organization/jabber?user_key=0ebdc8274e821149894a240090945265
Jahi Networks,http://www.crunchbase.com/organization/jahi-networks,,Jahi Networks was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Jahi Networks in 2004,http://api.crunchbase.com/v/2/organization/jahi-networks?user_key=0ebdc8274e821149894a240090945265
JetCell,http://www.crunchbase.com/organization/jetcell,,JetCell develops wireless communications equipment with specialized features for in-building and metropolitan small-footprint applications,1998,Public Relations,"173 Constitution Drive, Menlo Park, California, United States",Menlo Park,California,United States,"JetCell develops wireless communications equipment with specialized features for in-building and metropolitan small-footprint applications based on the GSM standard. JetCell was founded in 1998 and is based in Menlo Park, California.",,,Cisco Systems,Cisco acquired JetCell in 2000,http://api.crunchbase.com/v/2/organization/jetcell?user_key=0ebdc8274e821149894a240090945265
JouleX,http://www.crunchbase.com/organization/joulex,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397192609/1cfc3e19d58b31a404ddb7b12350f25f.jpg","JouleX offers products for sustainable energy management that enables enterprises to monitor, analyze and control energy consumption.",2009,Enterprise Software,"One JouleX Plaza, 107 West Paces Ferry Rd, Atlanta, Georgia, United States",Atlanta,Georgia,United States,"JouleX is a leading innovator in sustainable energy management for the enterprise. The JouleX Energy Manager JEM family of products automatically monitors, analyzes and controls the energy consumed by all devices connected to the network--without agents, hardware meters or changes to your network or security. This provides enterprises unprecedented visibility and control over the consumption and utilization of energy throughout their distributed office environments, data centers and facilities management systems.",http://www.joulex.net,http://twitter.com/JouleXnet,Cisco Systems,Cisco acquired JouleX in 2013,http://api.crunchbase.com/v/2/organization/joulex?user_key=0ebdc8274e821149894a240090945265
Kalpana,http://www.crunchbase.com/organization/kalpana,,Kalpana is a LAN switching company that manufactures and developes a new networking product category which brings the first switching,,,"170 West Tasman Drive, San Jose, California, United States",San Jose,California,United States,"Kalpana is a LAN switching company that manufactures and developes a new networking product category which brings the first switching architecture to the Ethernet with a EtherSwitch product line and a complete duplex Ethernet technology that currently represents one of the largest segments of the data communications industry sector. The company was founded in 1987 and is based in San Jose, California. It has an additional office in Sunnyvale, California and distributors in Europe and Asia.",,,Cisco Systems,Cisco acquired Kalpana in 1994,http://api.crunchbase.com/v/2/organization/kalpana?user_key=0ebdc8274e821149894a240090945265
KiSS Technology,http://www.crunchbase.com/organization/kiss-technology,,KiSS Technology was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired KiSS Technology in 2005,http://api.crunchbase.com/v/2/organization/kiss-technology?user_key=0ebdc8274e821149894a240090945265
Komodo Technology,http://www.crunchbase.com/organization/komodo-technology,,Komodo Technology was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Komodo Technology in 2000,http://api.crunchbase.com/v/2/organization/komodo-technology?user_key=0ebdc8274e821149894a240090945265
Latigent,http://www.crunchbase.com/organization/latigent,,Latigent provides business intelligence and performance management solutions for call centers and the mid-markets in the United States.,2002,Software,"4879 North Lincoln Avenue, Suite 2, Chicago, Illinois, United States",Chicago,Illinois,United States,"Latigent provides business intelligence and performance management solutions for call centers and the mid-markets in the United States. Its products include BlueVue, a Web-based business intelligence and analytics tool; and Archiver, an engine for integrating data from the enterprise into a consolidated and normalized repository. The company offers its solutions for decision support, data mining, scorecards, and reporting from various data sources. Latigent, LLC was founded in 2002 and is based in Chicago, Illinois. Latigent, LLC operates as a subsidiary of Cisco Systems, Inc.",,,Cisco Systems,Cisco acquired Latigent in 2007,http://api.crunchbase.com/v/2/organization/latigent?user_key=0ebdc8274e821149894a240090945265
Latitude Communications,http://www.crunchbase.com/organization/latitude-communications,,Latitude Communications provides enterprise voice and Web conferencing solutions. Its MeetingPlace system allows companies to conduct,1993,,"2121 Tasman Drive, Santa Clara, California, United States",Santa Clara,California,United States,"Latitude Communications provides enterprise voice and Web conferencing solutions. Its MeetingPlace system allows companies to conduct virtual meetings and thereby extend decision-making processes across the disparate geographic locations of participants. With MeetingPlace, participants can schedule and attend a meeting; view, share, and edit documents; and record and play back meeting content. Attendees can participate in a meeting using widely available communications devices, such as telephones, cellular phones, laptop computers, and desktop computers.",,,Cisco Systems,Cisco acquired Latitude Communications in 2003,http://api.crunchbase.com/v/2/organization/latitude-communications?user_key=0ebdc8274e821149894a240090945265
LightSpeed International,http://www.crunchbase.com/organization/lightspeed-international,,LightSpeed International was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired LightSpeed International in 1997,http://api.crunchbase.com/v/2/organization/lightspeed-international?user_key=0ebdc8274e821149894a240090945265
Lightwire,http://www.crunchbase.com/organization/lightwire,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397188381/f7a9171489f672c209a9d818b706a881.jpg",Lightwire employs CMOS photonics technology to deliver integrated optical and electrical solutions that enables high speed interconnects.,,Enterprise Software,"3900 Freedom Circle, Suite 130, Santa Clara, California, United States",Santa Clara,California,United States,Lightwire’s mission is to deliver efficient integration of optical and electrical solutions which will power the next generation of high speed interconnects using CMOS photonics technology.,http://lightwire.com,,Cisco Systems,Cisco acquired Lightwire in 2012,http://api.crunchbase.com/v/2/organization/lightwire?user_key=0ebdc8274e821149894a240090945265
LineSider Technologies,http://www.crunchbase.com/organization/linesider-technologies,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397199557/443935172c1cadda4c643896f9993430.png",LineSider Technologies is leading the evolution of communications networks to meet the requirements of cloud computing.,2010,Software,"One Corporate Place, 55 Ferncroft Road, Suite 120, Danvers, Massachusetts, United States",Danvers,Massachusetts,United States,"LineSider Technologies is leading the evolution of communications networks to meet the requirements of cloud computing. With next-generation network services virtualization, the Company helps service providers and enterprise organizations, transform their networks into dynamic and fluid infrastructures that can respond rapidly to changes in dynamic cloud computing environments.",http://www.linesider.net,,Cisco Systems,Cisco acquired LineSider Technologies in 2010,http://api.crunchbase.com/v/2/organization/linesider-technologies?user_key=0ebdc8274e821149894a240090945265
M. I. Secure Corporation,http://www.crunchbase.com/organization/m-i-secure-corporation,,M. I. Secure Corporation was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired M. I. Secure Corporation in 2005,http://api.crunchbase.com/v/2/organization/m-i-secure-corporation?user_key=0ebdc8274e821149894a240090945265
Maxcomm Technologies,http://www.crunchbase.com/organization/maxcomm-technologies,,Maxcomm Technologies was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Maxcomm Technologies in 1999,http://api.crunchbase.com/v/2/organization/maxcomm-technologies?user_key=0ebdc8274e821149894a240090945265
Meetinghouse Data Communications,http://www.crunchbase.com/organization/meetinghouse-data-communications,,Meetinghouse Data Communications develops network security and authentication products. The company offers network authentication software,1988,,"150 Greenleaf Avenue, Unit F, Portsmouth, New Hampshire, United States",Portsmouth,New Hampshire,United States,"Meetinghouse Data Communications develops network security and authentication products. The company offers network authentication software for wired and wireless local-area networks, including AEGIS, a security solution that provides user authentication for wireless local area networks; EAP-TTLS protocol, which addresses security risks of wireless local area networks; and 802.1X supplicant that is used to authenticate wireless or wired local-area network users during login and network sessions.",,,Cisco Systems,Cisco acquired Meetinghouse Data Communications in 2006,http://api.crunchbase.com/v/2/organization/meetinghouse-data-communications?user_key=0ebdc8274e821149894a240090945265
Meraki,http://www.crunchbase.com/organization/meraki,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182938/64eb6da32be4373b6c920ff236a626b6.png","Meraki provides Cisco-based, cloud-controlled Wi-Fi and routing and security products for distributed wired and wireless networks.",2006,Web Hosting,"660 Alabama St., San Francisco, California, United States",San Francisco,California,United States,"Meraki came out of a research project at MIT in 2006 and is now based in San Francisco. Meraki has grown rapidly from its modest roots.  It now provides wired and wireless networking systems controlled in the cloud.  Customers include universities MIT, Stanford, retailers Peet's Coffee, hospitals, hotels, and others.Meraki is funded by Sequoia Capital/financial-organization/sequoia-capital, DAG Ventures/financial-organization/dag-ventures, Northgate Capital/financial-organization/northgate-capital, and Google",http://meraki.com,http://twitter.com/meraki,Cisco Systems,Cisco acquired Meraki in 2012,http://api.crunchbase.com/v/2/organization/meraki?user_key=0ebdc8274e821149894a240090945265
Metreos Corporation,http://www.crunchbase.com/organization/metreos-corporation,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397207304/3612f2f1f644a39fde58f84578766956.png","Metreos provides IP telephony development and run-time platforms to help companies build, deploy, and manage IP telephony applications.",2001,"VoIP, Networking, Software","4414 Westgate Blvd, Austin, Texas, United States",Austin,Texas,United States,"Metreos was founded in 2001 by Louis Marascio and Mark Richards to provide an IP telephony development and run-time platform to help companies build, deploy, and manage IP telephony applications.Metreos provided both packaged applications and a set of tools for designing, developing, deploying, and managing applications deployed on IP telephony networks. Their primary customer base were large enterprises who had invested significant capital in replacing aging TDM based phone systems with new Voice-over-IP phone systems, specifically those who had chosen Cisco Systems as their VoIP vendor of choice.Large Cisco customers began to use the Metreos product suite in 2004 with early deployments by Lehman Brothers and BearingPoint. Frustrated by the lack of support from their primary IP PBX vendor, Metreos customers were able to use the Metreos Communications Environment to customize their IP telephony deployment to their liking, often times implementing features that were lost in the transition from TDM to IP.Recognizing that many of their large marque customers were using the Metreos product to enhance their Cisco deployment, Cisco purchased Metreos in June 2006 for $28 million USD.",http://www.metreos.com,http://twitter.com/CiscoSystems,Cisco Systems,Cisco acquired Metreos Corporation in 2006,http://api.crunchbase.com/v/2/organization/metreos-corporation?user_key=0ebdc8274e821149894a240090945265
MONTEREY NETWORKS,http://www.crunchbase.com/organization/monterey-networks,,MONTEREY NETWORKS was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired MONTEREY NETWORKS in 1999,http://api.crunchbase.com/v/2/organization/monterey-networks?user_key=0ebdc8274e821149894a240090945265
MOTO Development Group,http://www.crunchbase.com/organization/moto-development-group,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181632/07b19d8b8fd8eb8a2d12123cb4fe301b.jpg",end-to-end product development,1991,"Electronics, Design, Consumers, Technology, Consulting",,,,,"Founded in 1991, MOTO develops products and product / service strategies for startups and Fortune 500 companies. MOTO multidisciplinary teams navigate consumer experience, innovation, technology ability to create engaging products and services. MOTO's methodology combines a focus on innovation and consumer value with the experience of a proven product development team. We help companies focus on key elements of innovation that provide customer experience and value, and ensure delivery of those best-of/first-of-category products to market.MOTO maintains offices in San Francisco, California and Hong Kong SAR.",http://www.moto.com,http://twitter.com/motosf,Cisco Systems,Cisco acquired MOTO Development Group in 2010,http://api.crunchbase.com/v/2/organization/moto-development-group?user_key=0ebdc8274e821149894a240090945265
Nashoba Networks,http://www.crunchbase.com/organization/nashoba-networks,,Nashoba Networks was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Nashoba Networks in 1996,http://api.crunchbase.com/v/2/organization/nashoba-networks?user_key=0ebdc8274e821149894a240090945265
Navarro Networks,http://www.crunchbase.com/organization/navarro-networks,,Navarro Networks was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Navarro Networks in 2002,http://api.crunchbase.com/v/2/organization/navarro-networks?user_key=0ebdc8274e821149894a240090945265
Navini Networks,http://www.crunchbase.com/organization/navini-networks,,"Navini Networks provides portable, plug-n-play broadband wireless access solutions in the United States.",2000,Web Hosting,"2240 Campbell Creek Boulevard, Suite 110, Richardson, Texas, United States",Richardson,Texas,United States,"Navini Networks provides portable, plug-n-play broadband wireless access solutions in the United States. Its pre-Mobile WiMAX solutions include The Ripwave MX product line comprising Ripwave MX portable products, such as base stations, modems, radio frequency combiners, and element management systems. Navini Networks, Inc. also provides Smart WiMAX, a mobile WiMAX with beamformed MIMO and smart beamforming technology for the broadband wireless market to deliver personal broadband to the mass market. The company was founded in 2000 and is headquartered in Richardson, Texas.",,,Cisco Systems,Cisco acquired Navini Networks in 2007,http://api.crunchbase.com/v/2/organization/navini-networks?user_key=0ebdc8274e821149894a240090945265
Nemo Systems,http://www.crunchbase.com/organization/nemo-systems,,Nemo Systems was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Nemo Systems in 2005,http://api.crunchbase.com/v/2/organization/nemo-systems?user_key=0ebdc8274e821149894a240090945265
NeoPath Networks,http://www.crunchbase.com/organization/neopath-networks,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397202336/778e23002c973bdb6d1f49686d7e8c22.jpg",NeoPath Networks is a provider of file storage management solutions.,2002,Enterprise Software,"2171 Landings Drive, Mountain View, California, United States",Mountain View,California,United States,"NeoPath Networks, Inc. provides file storage management solutions. It provides File Director, a network appliance that resides in-band between file servers and clients, and provides file storage management capabilities, including namespace virtualization and globalization, safe and non-disruptive file migrations, real-time file characterization and analysis, and policy-based file management; and SMARTtouch, a file storage software solution that allows its clients to balance and utilize existing file storage capacity. The company's products simplify and advance file storage management for networked attached storage and other file servers, and increase storage utilization. It serves financial services, government, hosted services, aerospace, manufacturing, healthcare, and education industries. The company was founded in 2002 and is headquartered in Mountain View, California. As of April 3, 2007, NeoPath Networks, Inc. is a subsidiary of Cisco Systems, Inc.",http://cisco.com,http://twitter.com/CiscoSystems,Cisco Systems,Cisco acquired NeoPath Networks in 2007,http://api.crunchbase.com/v/2/organization/neopath-networks?user_key=0ebdc8274e821149894a240090945265
Netiverse,http://www.crunchbase.com/organization/netiverse,,Netiverse was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Netiverse in 2000,http://api.crunchbase.com/v/2/organization/netiverse?user_key=0ebdc8274e821149894a240090945265
NetSift,http://www.crunchbase.com/organization/netsift,,NetSift was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired NetSift in 2005,http://api.crunchbase.com/v/2/organization/netsift?user_key=0ebdc8274e821149894a240090945265
NetSolve,http://www.crunchbase.com/organization/netsolve,,"NetSolve provides information technology infrastructure management services worldwide. Its services include network configuration, design",1985,Security,"9500 Amberglen Boulevard, Austin, Texas, United States",Austin,Texas,United States,"NetSolve provides information technology infrastructure management services worldwide. Its services include network configuration, design and installation, and implementation coordination services, as well as remote management of channel service units, data service units, routers, switches, firewalls, network intrusion detection devices, host based intrusion detection software, voice over Internet protocol devices, servers, and software infrastructure applications. The company's services are used to outsource information technology infrastructure-specific activities, as well as operate its customers' information technology infrastructure, including monitoring, fault diagnosis, fault resolution, and performance management and reporting. It also resells onsite maintenance services and customer premise equipment. The company was founded in 1985 and is headquartered in Austin, Texas.",,,Cisco Systems,Cisco acquired NetSolve in 2004,http://api.crunchbase.com/v/2/organization/netsolve?user_key=0ebdc8274e821149894a240090945265
NetSpeed,http://www.crunchbase.com/organization/netspeed,,NetSpeed was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired NetSpeed in 1998,http://api.crunchbase.com/v/2/organization/netspeed?user_key=0ebdc8274e821149894a240090945265
NetSys Technologies,http://www.crunchbase.com/organization/netsys-technologies,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397198734/b291f7f0be14d71fe14bcc87880ca1c9.jpg",NetSys Technologies was added to CrunchBase in 2010,,,"1160 Dairy Ashford, Suite 300, Houston, Texas, United States",Houston,Texas,United States,,http://www.netsys-tech.com,,Cisco Systems,Cisco acquired NetSys Technologies in 1996,http://api.crunchbase.com/v/2/organization/netsys-technologies?user_key=0ebdc8274e821149894a240090945265
Network Translation,http://www.crunchbase.com/organization/network-translation,,Network Translation was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Network Translation in 1995,http://api.crunchbase.com/v/2/organization/network-translation?user_key=0ebdc8274e821149894a240090945265
Newport Systems Solutions,http://www.crunchbase.com/organization/newport-systems-solutions,,Newport Systems Solutions was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Newport Systems Solutions in 1994,http://api.crunchbase.com/v/2/organization/newport-systems-solutions?user_key=0ebdc8274e821149894a240090945265
newScale,http://www.crunchbase.com/organization/newscale,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397205976/2f3f7048a756d5e301fb5139db3b33b8.png","newScale provides self-service, service catalogs and lifecycle management software for enterprise IT and cloud computing.",,Enterprise Software,"2215 Bridgepointe Parkway, San Mateo, California, United States",San Mateo,California,United States,"newScale is the leading provider of self-service, service catalog, and lifecycle management software for enterprise IT and private / hybrid cloud computing.With more than two million users worldwide, newScale helps IT organizations and service providers offer a self-service storefront for both desktop and data center services  &  across physical, virtual and cloud environments. The company was founded in 1999 and is headquartered in San Mateo, California.",http://www.newScale.com,http://twitter.com/newScale,Cisco Systems,Cisco acquired newScale in 2011,http://api.crunchbase.com/v/2/organization/newscale?user_key=0ebdc8274e821149894a240090945265
Nuova Systems,http://www.crunchbase.com/organization/nuova-systems,,enterprise data center solutions,,Web Hosting,"3 West Plumeria Drive, San Jose, California, United States",San Jose,California,United States,"Nuova Systems, Inc. develops enterprise data center solutions. Its solutions deliver I/O consolidation and converged network, and server and SAN fabrics services. The company is based in San Jose, California. As of August 10, 2006, Nuova Systems, Inc. operates as a subsidiary of Cisco Systems, Inc.",http://www.nuovasystems.com,http://twitter.com/CiscoSystem,Cisco Systems,Cisco acquired Nuova Systems in 2008,http://api.crunchbase.com/v/2/organization/nuova-systems?user_key=0ebdc8274e821149894a240090945265
NuSpeed Internet Systems,http://www.crunchbase.com/organization/nuspeed-internet-systems,,NuSpeed Internet Systems was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired NuSpeed Internet Systems in 2000,http://api.crunchbase.com/v/2/organization/nuspeed-internet-systems?user_key=0ebdc8274e821149894a240090945265
Okena,http://www.crunchbase.com/organization/okena,,Okena was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Okena in 2003,http://api.crunchbase.com/v/2/organization/okena?user_key=0ebdc8274e821149894a240090945265
Orative Corporation,http://www.crunchbase.com/organization/orative-corporation,,Orative Corporation develops mobile software solutions that improve voice communications for business mobile phone users.,2002,,"125 South Market Street, Suite 500, San Jose, California, United States",San Jose,California,United States,"Orative Corporation develops mobile software solutions that improve voice communications for business mobile phone users. Its Orative Enterprise Software, a client-server solution, provides users to coordinate conversations, collaborate with colleagues, screen unwanted calls and interruptions, and access personal and corporate phone books. Orative was founded in 2002 and is headquartered in San Jose, California. Orative Corporation operates as a subsidiary of Cisco Systems, Inc.",,,Cisco Systems,Cisco acquired Orative Corporation in 2006,http://api.crunchbase.com/v/2/organization/orative-corporation?user_key=0ebdc8274e821149894a240090945265
P-Cube,http://www.crunchbase.com/organization/p-cube,,P-Cube develops programmable IP service control platforms for broadband and mobile network operators.,1999,,"388 Oakmead Parkway, Sunnyvale, California, United States",Sunnyvale,California,United States,"P-Cube develops programmable IP service control platforms for broadband and mobile network operators. The company's products include engage, which offers service providers a roadmap to profitability by offering technology that enables operators to adopt a phased approach; encharge, which works with existing OSS and BSS systems that creates a converged voice and data prepaid-postpaid environment; and service control platforms.",,,Cisco Systems,Cisco acquired P-Cube in 2004,http://api.crunchbase.com/v/2/organization/p-cube?user_key=0ebdc8274e821149894a240090945265
Parc Technologies,http://www.crunchbase.com/organization/parc-technologies,,Parc Technologies was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Parc Technologies in 2004,http://api.crunchbase.com/v/2/organization/parc-technologies?user_key=0ebdc8274e821149894a240090945265
Pentacom,http://www.crunchbase.com/organization/pentacom,,"Pentacom, Ltd. provides networking solutions and information technology services, and it specializes in networking components that connect",1998,Public Relations,"Herzliya, Tel Aviv, Israel",Herzliya,Tel Aviv,Israel,"Pentacom, Ltd. provides networking solutions and information technology services, and it specializes in networking components that connect optical networks to the Internet backbone. The company was founded in 1998 and is based in Herzliya, Israel.",,,Cisco Systems,Cisco acquired Pentacom in 2000,http://api.crunchbase.com/v/2/organization/pentacom?user_key=0ebdc8274e821149894a240090945265
Perfigo,http://www.crunchbase.com/organization/perfigo,,"Perfigo develops packaged network access control solutions. It offers CleanMachines, a network centric solution that combines identity",2002,,"1501 Mariposa Street, Suite 408, San Francisco, California, United States",San Francisco,California,United States,"Perfigo develops packaged network access control solutions. It offers CleanMachines, a network centric solution that combines identity management, network traffic control, vulnerability assessment, and patch management. CleanMachines minimizes network downtime and disruptions in productivity by stopping the spread of viruses and worms before noncompliant machines gain network access. It serves education, healthcare, retail, and utilities industries. Perfigo was founded in 2002 and is headquartered in San Francisco, California.",,,Cisco Systems,Cisco acquired Perfigo in 2004,http://api.crunchbase.com/v/2/organization/perfigo?user_key=0ebdc8274e821149894a240090945265
PipeLinks,http://www.crunchbase.com/organization/pipelinks,,"PipeLinks develops high-bandwidth, remote access equipment for networking systems. The company is based in San Jose, California.",,,"San Jose, California, United States",San Jose,California,United States,"PipeLinks develops high-bandwidth, remote access equipment for networking systems. The company is based in San Jose, California.",,,Cisco Systems,Cisco acquired PipeLinks in 1998,http://api.crunchbase.com/v/2/organization/pipelinks?user_key=0ebdc8274e821149894a240090945265
Pirelli Optical Systems,http://www.crunchbase.com/organization/pirelli-optical-systems,,Pirelli Optical Systems was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired Pirelli Optical Systems in 1999,http://api.crunchbase.com/v/2/organization/pirelli-optical-systems?user_key=0ebdc8274e821149894a240090945265
PixStream,http://www.crunchbase.com/organization/pixstream,,PixStream was added to CrunchBase in 2010,,,,,,,,,,Cisco Systems,Cisco acquired PixStream in 2000,http://api.crunchbase.com/v/2/organization/pixstream?user_key=0ebdc8274e821149894a240090945265
